2024-05-07 The Kills, Columbiahalle, Berlin
2024-04-11 Razz, Im Wizemann, Stuttgart
2024-04-07 Die Antwoord, Columbiahalle, Berlin
2024-03-23 IDLES, Jahrhunderthalle, Frankfurt
2024-03-16 IKAN HYU, Kohi, Karlsruhe
2024-03-14 Hania Rani, Alter Schlachthof, Wiesbaden
2024-02-18 Bonaparte (Riot), LKA Longhorn, Stuttgart
2024-02-17 Bonaparte (Quiet), Mozart-Saal, Stuttgart
2024-02-02 Get Well Soon, Festspielhaus, Baden Baden
2024-01-23 WIZO, Substage, Karlsruhe
2023-12-06 Skindred, Substage, Karlsruhe
2023-11-10 Moop Mama, ZKM, Karlsruhe
2023-11-08 Queens of the Stone Age, Jahrhunderthalle, Frankfurt
2023-10-22 De Staat, Alte Feuerwache, Mannheim
2023-10-21 Tina Dico, Liederhalle, Stuttgart
2023-10-14 Philipp Boa, Substage, Karlsruhe
2023-10-13 Lauren Mayberry, Strom, Munich
2023-09-26 K.Flay, Luxor, Köln
2023-09-25 Blood Red Shoes, Nachtleben, Frankfurt
2023-08-12 Kraftwerk, Schloss Karlsruhe, Karlsruhe
2023-07-28 Russian Circles, P8, Karlsruhe
2023-07-26 Bonaparte & Sophie Hunger, Tollhaus, Karlsruhe
2023-07-01 Depeche Mode, Deutsche Bank Park, Frankfurt
2023-06-27 Black Keys, Palladium, Köln
2023-06-20 Behemoth, Substage, Karlsruhe
2023-06-15 Get Well Soon, BuGa, Mannheim
2023-06-13 Royal Blood, Maimarktgelaende, Mannheim
2023-06-09 (Muse, Royal Blood), Rhein-Energie Stadion, Köln
2023-06-05 Nothing But Thieves, LKA Longhorn, Stuttgart
2023-05-06 Olli Schulz, Tollhaus, Karlsruhe
2023-05-06 The Guilt, Alte Hackerei, Karlsruhe
2023-05-01 ASP, Schlachthof, Wiesbaden 
2023-04-12 Eels, La Laiterie, Strassburg
2023-04-06 Thy Art is Murder, Substage, Karlsruhe
2023-03-31 Avatar, Substage, Karlsruhe
2023-03-29 Grailknights, Substage, Karlsruhe
2023-03-18 Spidergawd, Backstage, Muenchen
2023-03-04 Algiers, Manufaktur, Schorndorf
2022-10-30 Sigur Ros, Jahrhunderthalle, Frankfurt
2022-10-29 Deine Lakaien, Scala, Ludwigsburg
2022-10-27 De Staat, Substage, Karlsruhe
2022-10-26 (Behemoth, Arch Enemy), Jahrhunderthalle, Frankfurt
2022-10-22 Placebo, Barcley Arena, Hamburg
2022-09-29 The Guilt, Alte Hackerei, Karlsruhe
2022-08-05 Nick Cave, Burg Clam, Clam
2022-08-03 Nick Cave, Schloss, Rastatt
2022-07-23 (Passenger, Mia, Dubioza Kolektiv), Das Fest, Karlsruhe
2022-07-22 (Jan Delay & Disko No.1, Blond), Das Fest, Karlsruhe
2022-07-21 Bilderbuch, Das Fest, Karlsruhe
2022-07-20 Seeed, Das Fest, Karlsruhe
2022-07-12 Gogol Bordello, Substage, Karlsruhe
2022-06-11 (Royal Blood, Anna Calvi, Interpol, The Strokes), Tempelhof Sounds Festival, Berlin
2022-06-10 (Muse, Alt-J, IDLES, Johnossi, Black Honey, Cleopatrick), Tempelhof Sounds Festival, Berlin
2022-06-09 (Florence + The Machine, The Libertines), Tempelhof Sounds Festival, Berlin
2022-06-08 Cleopatrick, Nachtleben, Frankfurt
2022-06-05 The Rolling Stones, Olympiastadion, Muenchen
2022-06-02 July Talk, Knust, Hamburg
2022-06-01 July Talk, Hole44, Berlin
2022-05-31 July Talk, Strom, Muenchen
2022-05-26 The Subways, Substage, Karlsruhe
2022-05-19 Grossstadtgefluester, Tollhaus, Karlsruhe
2022-05-09 Vex, Kulturcafe, Mainz
2022-05-05 Does It Offend You, Yeah?, Electric Ballroom, London
2022-04-26 Woodkid, Schlachthof, Wiesbaden
2022-04-11 Nothing But Thieves, Schlachthof, Wiesbaden
2021-07-24 Grossstadtgefluester / Sylvie Kreusch, Messegelaende, Karlsruhe
2021-07-21 Anna Ternheim, Stadtpark, Hamburg
2021-07-20 VKGoesWild, Schroedingers, Hamburg
2020-10-24 The Guilt, Molotow Backyard, Hamburg
2020-02-28 Deichkind, Hans-Martin-Schleyer Halle, Stuttgart
2020-02-17 Algiers, Zoom, Frankfurt
2020-01-25 Kettcar, Staatstheater, Braunschweig
2019-12-01 Skindred, Substage, Karlsruhe
2019-11-26 Bonaparte, Wagenhallen, Stuttgart
2019-11-01 De Staat, Halle02, Heidelberg
2019-10-31 Blood Red Shoes, Strom, Muenchen
2019-10-25 Get Well Soon, Scala, Ludwigsburg
2019-10-13 Medicine Boy, Hafen 2, Offenbach
2019-10-11 Clawfinger, Substage, Karlsruhe
2019-09-18 Amanda Palmer, Theaterhaus, Stuttgart
2019-09-14 The Guilt, Kreativfabrik, Wiesbaden
2019-09-10 Muse, Mercedes-Benz Arena, Berlin
2019-09-08 Kings of Leon, Kraftklub (Lollapalooza), Berlin
2019-08-31 Eels, Im Wizemann, Stuttgart
2019-08-06 Nova Twins / Prophets Of Rage, Schlachthof, Wiesbaden
2019-08-03 Tina Dico, Tollhaus, Karlsruhe
2019-07-23 Royal Blood, Schlachthof, Wiesbaden
2019-07-21 Rival Sons, Das Fest, Karlsruhe
2019-07-20 Grossstadtgefluester, Das Fest, Karlsruhe
2019-07-19 Kettcar, Das Fest, Karlsruhe
2019-07-10 God Is An Astronaut, Substage, Karlsruhe
2019-07-09 Anna Calvi, Tollhaus, Karlsruhe
2019-06-22 Du Blonde / Garbage, Muffathalle, Muenchen
2019-06-16 Tocotronic / Faber (Maifeld Derby), Mannheim
2019-06-15 Cari Cari / De Staat / Kate Tempest / Von Wegen Lisbeth / Balthazar (Maifeld Derby), Mannheim
2019-06-14 Gurr / Sleaford Mods / Hot Chip (Maifeld Derby), Mannheim
2019-06-08 The Humming Womb, Multihalle, Mannheim
2019-06-05 Interpol, Schlachthof, Wiesbaden
2019-06-01 Elton John, Bowling Green, Wiesbaden
2019-04-19 The Guilt, KulturA, Liege
2019-04-13 Kakkmaddafakka, Alte Feuerwache, Mannheim
2019-04-11 Gurr, Schon Schoen, Mainz
2019-04-10 Bonaparte, Schon Schoen, Mainz
2019-04-08 Bonaparte, Rote Sonne, Muenchen
2019-04-06 Philipp Boa, Substage, Karlsruhe
2019-03-22 Grossstadtgefluester, Live Music Hall, Koeln
2019-03-21 Grossstadtgefluester, Im Wizemann, Stuttgart
2019-03-02 Florence + The Machine, Olympiahalle, Muenchen
2019-02-08 Blood Red Shoes, Point Ephemere, Paris
2019-02-04 Massive Attack, Jahrhunderthalle, Karlsruhe
2019-01-26 Fuenf Sterne Deluxe, Substage, Karlsruhe
2019-01-17 Moop Mama, Substage, Karlsruhe
2019-01-10 WIZO, Halle02, Heidelberg
2018-12-12 Wolf Alice, Halle02, Heidelberg
2018-11-29 Long Distance Calling, Stadtmitte, Karlsruhe
2018-11-27 The Glitch Mob, Alte Feuerwache, Mannheim
2018-11-14 Metric, Gibson, Frankfurt
2018-11-11 CHVRCHES, LKA Longhorn, Stuttgart
2018-11-09 Courtney Barnett, Schlachthof, Wiesbaden
2018-11-06 CHVRCHES, Live Music Hall, Koeln
2018-10-31 The Dresden Dolls, Troxy, London
2018-10-30 The Dresden Dolls, Troxy, London
2018-10-28 Get Well Soon, Theaterhaus, Stuttgart
2018-10-24 Frank Turner, LKA Longhorn, Stuttgart
2018-10-17 Tina Dico, Theaterhaus, Stuttgart
2018-10-13 Schmutzki, Zoom, Frankfurt
2018-09-27 Elaekelaeiset, Substage, Karlsruhe
2018-08-17 Olli Schulz, Zitadelle, Mainz
2018-07-25 Gogol Bordello, Substage, Karlsruhe
2018-07-19 Eels, La Laiterie, Strassbourg
2018-07-07 The Baboon Show, Alte Hackerei, Karlsruhe
2018-06-25 Eels, TonHalle, Muenchen
2018-06-17 A Perfect Circle, Zitadelle, Berlin
2018-05-30 LCD Soundsystem, Tempodrom, Berlin
2018-04-20 The Glitch Mob, La Trabendo, Paris
2018-04-19 Bilderbuch, Substage, Karlsruhe
2018-04-18 Arcade Fire, Festhalle, Frankfurt
2018-04-01 The Guilt, Oettinger Villa, Darmstadt
2018-03-28 The Guilt, Sonic Ballroom, Koeln
2018-03-23 The Guilt, Alte Hackerei, Karlsruhe
2018-03-18 Editors, Schlachthof, Wiesbaden
2018-03-17 Fever Ray, Paladium, Koeln
2018-03-06 Laibach, Kolbenhalle, Mannheim
2018-02-26 Algiers, Zoom, Frankfurt
2018-02-17 Deine Lakaien, Rosengarten, Mannheim
2018-02-07 Kakkmaddafakka, Halle02, Heidelberg
2018-01-09 Wolf Alice, Zoom, Frankfurt
2017-12-13 Johnossi, Substage, Karlsruhe
2017-11-30 Depeche Mode, SAP Arena, Mannheim
2017-11-21 Sophia, Karlstorbahnhof, Heidelberg
2017-11-15 Archive, Substage, Karlsruhe
2017-11-12 Glen Hansard, Alte Oper, Frankfurt am Main
2017-11-07 Birdeatsbaby, Dorfschaenke, Karlsruhe
2017-11-05 !!!, Luxor, Koeln
2017-11-02 Warhaus, Schlachthof, Wiesbaden
2017-10-31 Kasabian, C-Halle, Berlin
2017-10-30 Wolf Alice, Festsaal Kreuzberg, Berlin
2017-10-15 Lorde, Tempodrom, Berlin
2017-10-14 Sigur Ros, Jahrhunderthalle, Frankfurt
2017-10-05 Beth Ditto, Batschkapp, Frankfurt
2017-10-04 Schnipo Schranke, Jubez, Karlsruhe
2017-09-24 Portugal. The Man, Substage, Karlsruhe
2017-09-13 The Guilt, Kreativfabrik, Wiesbaden
2017-09-01 Grossstadtgefluester, Kantine, Augsburg
2017-08-18 The Red Paintings, Das Bett, Frankfurt
2017-08-17 Kettcar, Thees Uhlmann, Substage, Karlsruhe
